,Incident Date,State,City Or County,Address,# Killed,# Injured
5122,"October 26, 2016",Georgia,Atlanta,35 Hamilton E Holmes Dr NW,1,1
5123,"October 26, 2016",Florida,Pinellas Park,7600 block of 62nd Way,0,1
5124,"October 26, 2016",California,Santa Ana,1500 block of North Durant Street,0,2
5125,"October 26, 2016",Illinois,Chicago (Englewood),700 block of West 59th,0,1
5126,"October 25, 2016",Washington,Yakima,Fourth and Pine,0,1
5127,"October 25, 2016",South Carolina,Anderson,Montague Street,0,3
5128,"October 25, 2016",Utah,Sandy,615 E. 8000 South,0,1
5129,"October 25, 2016",Florida,Jacksonville,3300 block of Nancy Street,0,2
5130,"October 25, 2016",Texas,San Antonio,6222 South New Braunfels Avenue,0,1
5131,"October 25, 2016",Illinois,Chicago,6500 block of South King,0,1
5132,"October 25, 2016",New Jersey,Newark,Lincoln Street and Eagles Parkway,0,2
5133,"October 25, 2016",California,Los Angeles,Pacific Coast Highway and Broad Avenue,1,2
5134,"October 24, 2016",Ohio,Columbus,Selkirk Rd and Seabrook Ave,0,1
5135,"October 24, 2016",Colorado,El Paso (county),Eastonville and Judge Orr Road,0,1
5136,"October 24, 2016",Illinois,Chicago (Roseland),10900 block of South Princeton,0,1
5137,"October 23, 2016",Florida,Bradenton,6000 block of 34th Street West,0,1
5138,"October 23, 2016",Nevada,Reno,Douglas Alley and North Virginia Street,1,2
5139,"October 23, 2016",New York,Corona (Queens),17900 block of 90th Avenue,0,1
5140,"October 23, 2016",Illinois,Chicago,2100 block of South Western,0,1
5141,"October 23, 2016",Georgia,Savannah,600 block of Cape Street,0,1
5142,"October 23, 2016",Wisconsin,Milwaukee,39th and Florist,0,1
5143,"October 23, 2016",Illinois,Chicago,3700 block of West 25th Stree,0,1
5144,"October 23, 2016",North Carolina,Durham,1303 Leon Street,0,1
5145,"October 23, 2016",Illinois,Chicago,1500 block of West 81st Street,0,1
5146,"October 22, 2016",Ohio,Cleveland,West 28th Street,0,1
5147,"October 22, 2016",Colorado,Denver,Bruce Randolph Avenue and York Street,0,1
5148,"October 22, 2016",Pennsylvania,Philadelphia,2805 N 22nd St,1,1
5149,"October 22, 2016",California,Fullerton,2300 block of Iris Court,0,1
5150,"October 22, 2016",Texas,Del Rio,Cortinas St,0,1
5151,"October 22, 2016",Maine,New Sharon,236 Starks Road,0,1
5152,"October 22, 2016",Florida,Miami,101 NW 34th St,0,3
5153,"October 22, 2016",Georgia,Atlanta,Metropolitan Parkway,0,1
5154,"October 22, 2016",Illinois,Chicago,8900 block of South Winchester,0,2
5155,"October 22, 2016",Illinois,Chicago,7900 block of South Francisco Avenue,0,1
5156,"October 22, 2016",Georgia,Lagrange,716 Glenn Robertson Street,0,1
5157,"October 22, 2016",Massachusetts,Springfield,31 Acorn Street,0,1
5158,"October 22, 2016",Florida,Daytona Beach,223 S Dr Martin Luther King Jr Blvd.,0,1
5159,"October 22, 2016",Ohio,Cleveland,East 131st,0,2
5160,"October 21, 2016",New York,Rochester,833 Bay Street,0,1
5161,"October 21, 2016",Texas,Houston,304 East 39th Street,0,4
5162,"October 21, 2016",Mississippi,Jackson,2100 block of McFadden Road,0,1
5163,"October 21, 2016",Pennsylvania,Harrisburg,2400 block of Reel Street,0,1
5164,"October 21, 2016",California,Oakland,8900 block of Olive Street,0,1
5165,"October 21, 2016",Illinois,Chicago,1800 block of West 54th Street,0,2
5166,"October 20, 2016",New Jersey,Paterson,229 Rosa Parks Boulevard,0,1
5167,"October 20, 2016",Illinois,Chicago,4300 block of South Michigan,0,1
5168,"October 19, 2016",Massachusetts,Chelsea,58 Bellingham Street,0,1
5169,"October 19, 2016",Illinois,Chicago,7500 block of South Loomis,0,1
5170,"October 18, 2016",Florida,Cape Coral,1400 block of Southwest 54th Terrace,0,1
5171,"October 18, 2016",Florida,Bradenton,5400 block of 24th Street West,0,1
5172,"October 18, 2016",Georgia,Savannah,2100 block Hanson Street,0,1
5173,"October 18, 2016",Louisiana,New Orleans,Louisa Street and Almonaster Avenue,0,2
5174,"October 18, 2016",California,San Francisco,325 La Grande Avenue,0,4
5175,"October 18, 2016",California,Los Angeles,83rd and Main street,0,2
5176,"October 17, 2016",Georgia,Columbus,McNeese Drive,0,1
5177,"October 17, 2016",Illinois,Chicago (Englewood),6700 block of South Winchester,1,4
5178,"October 17, 2016",Indiana,Elkhart,311 East Carlton Avenue,0,2
5179,"October 16, 2016",Florida,Gainesville,6500 block of Southwest Archer Road,0,1
5180,"October 16, 2016",Utah,Salt Lake City,1344 S. Emery Street,0,1
5181,"October 16, 2016",Kansas,Cowley (county),22000 block of 12th Road,0,1
5182,"October 16, 2016",Florida,Hallandale (Hallandale Beach),700 block of Northwest 7th Avenue,1,1
5183,"October 16, 2016",Tennessee,Chattanooga,4100 block of Kirkland Avenue,0,1
5184,"October 16, 2016",New York,Syracuse,100 block of Niven Street,0,1
5185,"October 16, 2016",New Jersey,Trenton,1 block of Oakland Street,0,1
5186,"October 16, 2016",Georgia,Lithonia,5375 Fairington Rd,0,3
5187,"October 16, 2016",Illinois,Chicago,2300 block of North Monitor,0,1
5188,"October 16, 2016",North Dakota,Abercrombie,,0,1
5189,"October 16, 2016",California,Oakland,1100 block of Eighth Street,0,1
5190,"October 16, 2016",California,Oakland,Keller Avenue and Interstate 580,0,1
5191,"October 15, 2016",Alabama,Mobile,1800 block of St Stephens Road,0,5
5192,"October 15, 2016",Florida,Miami Gardens,2700 block of Northwest 173rd Terrace,0,1
5193,"October 15, 2016",Florida,Miami Gardens,2350 West Bunche Park Drive,0,3
5194,"October 15, 2016",Virginia,Richmond,Redd and Coulter Street,0,2
5195,"October 15, 2016",Illinois,Peoria,1800 block of North Bigelow Street,0,1
5196,"October 15, 2016",Illinois,Chicago,2300 block of North Normandy,0,1
5197,"October 15, 2016",California,Oakland,2400 block of Telegraph Avenue,0,1
5198,"October 14, 2016",Ohio,Cleveland,16602 Dynes Ave,0,1
5199,"October 14, 2016",California,Fresno,East Clinton Avenue and North Del Mar Avenue,0,1
5200,"October 14, 2016",Virginia,Danville,West James Street,0,1
5201,"October 14, 2016",Illinois,Chicago,1500 block of West Farwell Avenue,0,1
5202,"October 14, 2016",Illinois,Freeport,1100 block of South State Ave,0,1
5203,"October 14, 2016",Texas,Houston,Westheimer,0,1
5204,"October 13, 2016",South Carolina,Conway,1404 Church St,0,1
5205,"October 13, 2016",Ohio,Columbus,1320 Duxberry Ave,0,2
5206,"October 13, 2016",Colorado,Arapahoe (county),Parker Road and East Florida Avenue,0,1
5207,"October 13, 2016",Mississippi,Jackson,Derrick Street,0,1
5208,"October 13, 2016",Virginia,Norfolk,1700 block of Vernon Drive,0,2
5209,"October 13, 2016",California,San Diego,400 block of 32nd Street,0,1
5210,"October 13, 2016",New York,Buffalo,Leroy Avenue and Hill Street,1,1
5211,"October 13, 2016",Oregon,Portland,120th Avenue and Harold Street,0,1
5212,"October 12, 2016",Florida,Miami Gardens,NW 6th Ave and 181st St,0,1
5213,"October 12, 2016",Ohio,Cleveland,5902 Storer Ave,0,3
5214,"October 12, 2016",Kentucky,Louisville,5600 block of Rustic Way,0,1
5215,"October 12, 2016",Arizona,Peoria,7522 W Deer Valley Rd,0,2
5216,"October 12, 2016",New Jersey,Atlantic City,1300 block of Caspian Avenue,0,1
5217,"October 12, 2016",Illinois,Chicago,1100 block of North Lawler,0,1
5218,"October 12, 2016",Texas,Killeen,3320 East Rancier Avenue,0,1
5219,"October 11, 2016",Illinois,Chicago,2500 block of North Kostner,1,1
5220,"October 11, 2016",North Carolina,Greensboro,2300 Juliet Place,1,1
5221,"October 11, 2016",Rhode Island,Providence,Cypress and Camp Street,0,2
5222,"October 11, 2016",Florida,Miami Gardens,Northwest Sixth Avenue and 181st Street,0,1
5223,"October 11, 2016",Tennessee,Memphis,1559 Sycamore View Road,0,1
5224,"October 11, 2016",Texas,San Antonio,8500 block of Glen Shadow,0,1
5225,"October 11, 2016",Illinois,Chicago,2800 block of South Central Park,0,1
5226,"October 11, 2016",Alabama,Mobile,913 North Wilson Avenue,0,1
5227,"October 10, 2016",New York,Syracuse,Atlantic Avenue and Ballantyne Road,0,1
5228,"October 10, 2016",Connecticut,Groton,117 Long Hill Rd,0,2
5229,"October 10, 2016",Washington,Everett,900 block of West Casino Road,0,1
5230,"October 10, 2016",Tennessee,Memphis,1800 block of Lauderdale Street,0,2
5231,"October 10, 2016",Pennsylvania,Philadelphia,900 block of Granite Street,0,1
5232,"October 10, 2016",Illinois,Chicago,800 block of North Central Avenue,0,1
5233,"October 10, 2016",Pennsylvania,Philadelphia,3100 block of Stirling Street,1,2
5234,"October 10, 2016",Illinois,Chicago,2600 block of South California,0,1
5235,"October 10, 2016",Illinois,Chicago,5500 block of West Lake,0,2
5236,"October 10, 2016",Illinois,Chicago,6700 block of South Francisco,0,1
5237,"October 10, 2016",Illinois,Chicago (Englewood),2000 block of West 70th Place,0,3
5238,"October 10, 2016",Illinois,Chicago,3000 block of West Flournoy,0,1
5239,"October 10, 2016",Georgia,Macon,Broadway and Fulton Street,0,1
5240,"October 10, 2016",South Carolina,Saint Matthews,1300 Burke Rd,1,1
5241,"October 10, 2016",Illinois,Chicago,2100 block of South Trumbull,0,1
5242,"October 10, 2016",Illinois,Chicago,200 block of South Central,0,1
5243,"October 9, 2016",Kentucky,Lexington,1880 Eastland Parkway,0,1
5244,"October 9, 2016",California,San Francisco,26th and Valencia Street,0,1
5245,"October 9, 2016",Louisiana,New Orleans,7700 block of South Cornet Court,0,1
5246,"October 9, 2016",Colorado,Denver,2830 North High Street,1,1
5247,"October 9, 2016",Michigan,Detroit,8500 block of Terry,0,1
5248,"October 8, 2016",Washington,Spokane,Standard and Ermina,0,1
5249,"October 8, 2016",Ohio,Cleveland,East 55th Street,0,1
5250,"October 8, 2016",Illinois,Chicago,2600 block of North Hoyne,0,1
5251,"October 8, 2016",Illinois,Chicago,10500 block of South Wallace,0,2
5252,"October 8, 2016",Pennsylvania,Philadelphia,5900 block of Horrocks Street,0,1
5253,"October 8, 2016",Pennsylvania,Pittsburgh (Mt Washington),300 block of Virginia Street,0,1
5254,"October 8, 2016",Kansas,Kansas City,748 Washington Boulevard,0,1
5255,"October 7, 2016",Illinois,Chicago (Englewood),6800 block of South Paulina,0,1
5256,"October 7, 2016",Illinois,Chicago,1400 block of South Springfield,0,1
5257,"October 7, 2016",New York,Utica,York and Court street,0,1
5258,"October 6, 2016",Illinois,Chicago,0 block of South Leamington,0,1
5259,"October 6, 2016",Arkansas,Little Rock,16th St. and Peyton,0,2
5260,"October 6, 2016",Arkansas,Little Rock,1600 block of Cone Ln.,0,1
5261,"October 6, 2016",Louisiana,Rayville,Tradition Street,0,1
5262,"October 5, 2016",Virginia,Virginia Beach,5600 block of Baker Court,0,1
5263,"October 5, 2016",Tennessee,Knoxville,2603 Martin Luther King Jr. Avenue,0,1
5264,"October 5, 2016",Tennessee,Nashville,16th Ave North,0,1
5265,"October 5, 2016",North Dakota,Enderlin,,0,1
5266,"October 4, 2016",Tennessee,Nashville,Buchanan Street,0,1
5267,"October 4, 2016",Tennessee,Nashville,1400 block of 16th Avenue North,0,1
5268,"October 4, 2016",Oklahoma,Tulsa,N. Lewis Avenue and E. Ute Street,0,1
5269,"October 4, 2016",Virginia,Dumfries,3800 block of Graham Park Rd,0,1
5270,"October 4, 2016",Florida,Immokalee,300 block of South Seventh Street,0,1
5271,"October 4, 2016",Pennsylvania,Darby (Collingdale),Wayne Ave and MacDade Blvd,0,1
5272,"October 4, 2016",Oregon,Portland,East Burnside and 122nd Avenue,0,1
5273,"October 3, 2016",Ohio,Cincinnati,Derrick Turnbow Avenue and Linn Street,0,1
5274,"October 3, 2016",Minnesota,Minneapolis,Fourth Street and Hennepin Avenue,0,4
5275,"October 3, 2016",Illinois,Chicago,4200 block of South Sacramento,0,2
5276,"October 3, 2016",Arkansas,Little Rock,John Barrow Road and Kanis,0,1
5277,"October 2, 2016",Tennessee,Memphis,3400 block of Dupre Street,0,1
5278,"October 2, 2016",New Jersey,Trenton,600 block of Rutherford Avenue,0,1
5279,"October 2, 2016",Tennessee,Nashville,,0,1
5280,"October 2, 2016",North Carolina,Kinston,1500 block of Howard Street,0,1
5281,"October 2, 2016",Missouri,Saint Louis (St. Louis),5000 block of Davison Ave,0,1
5282,"October 2, 2016",Indiana,Indianapolis,1150 block of Shelby Street,0,1
5283,"October 2, 2016",California,Oakland,75th Avenue and Hamilton Street,0,1
5284,"October 2, 2016",New Jersey,Jersey City,,0,1
5285,"October 1, 2016",Massachusetts,Worcester,267 Lincoln Street,0,1
5286,"October 1, 2016",Louisiana,Shreveport,327 Kings Highway,1,1
5287,"October 1, 2016",Illinois,Chicago (Roseland),11300 block of South Harvard,0,1
5288,"October 1, 2016",Illinois,Chicago,3200 block of West Washington,0,1
5289,"October 1, 2016",Illinois,Chicago (Englewood),6600 block of South Sangamon,0,1
5290,"October 1, 2016",Ohio,Lima,4251 Reservoir Road,0,1
5291,"October 1, 2016",Pennsylvania,Allentown,500 block of North 11th Street,0,1
5292,"September 30, 2016",Ohio,Cleveland,14000 block of Elsetta Avenue,0,2
5293,"September 30, 2016",California,Sacramento,8485 Auberry Drive,0,2
5294,"September 30, 2016",Arkansas,Little Rock,13th and Rice,0,3
5295,"September 30, 2016",Illinois,Chicago,3300 block of West 16th Street,0,1
5296,"September 29, 2016",Tennessee,Nashville,800 block of 40th Avenue North,0,1
5297,"September 29, 2016",Florida,Miami Gardens,19162 Northwest 46th Avenue,0,3
5298,"September 29, 2016",Illinois,Chicago,7800 block of South Maryland,0,1
5299,"September 29, 2016",California,Fresno,Sowell and Kaweah,0,1
5300,"September 28, 2016",Florida,Orlando,16900 East Colonial Drive,0,2
5301,"September 28, 2016",Virginia,Richmond,1100 block of Sumpter Street,0,1
5302,"September 28, 2016",Florida,Ocala,400 block of Northwest Ninth Street,0,2
5303,"September 26, 2016",Texas,Humble,21219 Grand Linden Court,0,4
5304,"September 26, 2016",Ohio,Cleveland,3300 block of East 149th Street,0,2
5305,"September 26, 2016",Michigan,Pontiac,North Perry and Martin Luther King Boulevard,0,1
5306,"September 26, 2016",Michigan,Grand Rapids,1400 block of Eastern Avenue Southeast,1,1
5307,"September 26, 2016",New York,Brooklyn,Park Avenue and Hall Street,0,1
5308,"September 26, 2016",Michigan,Jackson,310 West Morrell Street,0,1
5309,"September 26, 2016",Kentucky,Lexington,3500 block of Gunbow Court,0,1
5310,"September 26, 2016",Illinois,Chicago,1300 block of South Kedzie Avenue,0,1
5311,"September 26, 2016",Texas,Tyler,2000 block of Carlyle Avenue,0,1
5312,"September 26, 2016",Illinois,Chicago,3500 block of West 57th Street,0,1
5313,"September 26, 2016",Illinois,Chicago,3800 block of West Roosevelt Road,0,2
5314,"September 26, 2016",Alabama,Huntsville,10th Ave.,0,1
5315,"September 26, 2016",Illinois,Chicago (Englewood),1900 block of West Marquette,0,1
5316,"September 26, 2016",Georgia,Norcross,1400 block of Wingfoot Way,0,1
5317,"September 26, 2016",Wisconsin,Milwaukee,2800 block of North Holton Street,0,1
5318,"September 25, 2016",Washington,Vancouver,4501 S.E. Columbia Way,0,2
5319,"September 25, 2016",Pennsylvania,Charleroi,900 block of Fallowfield Avenue,0,2
5320,"September 25, 2016",Alabama,Birmingham,2nd Avenue and 43rd Street South,0,1
5321,"September 25, 2016",Tennessee,Nashville (Donelson),209 Blue Hills Drive,0,1
5322,"September 25, 2016",Illinois,Chicago,200 block of South Leamington,0,1
5323,"September 25, 2016",North Carolina,Rocky Mount,Pennsylvania Avenue,0,1
5324,"September 24, 2016",Michigan,Flint,600 block of Odette Street,0,2
5325,"September 24, 2016",Utah,Sandy,9575 S State St,0,2
5326,"September 24, 2016",Illinois,Chicago,11800 block of South Union,0,1
5327,"September 24, 2016",Illinois,Chicago,8000 block of South Kingston,0,1
5328,"September 24, 2016",Illinois,Chicago,5100 block of South Ada Street,0,1
5329,"September 24, 2016",Pennsylvania,Pittsburgh,5000 block of Stanton Avenue,0,2
5330,"September 23, 2016",Iowa,Des Moines,,0,1
5331,"September 23, 2016",Alabama,Bessemer (Hueytown),3069 Allison-Bonnett Memorial Drive,0,1
5332,"September 23, 2016",Illinois,Chicago,200 block of East 58th Street,0,1
5333,"September 23, 2016",Missouri,Saint Louis,1200 block of N. Euclid Avenue,0,1
5334,"September 22, 2016",Texas,Austin,5900 block of East Stassney Lane,0,1
5335,"September 21, 2016",Louisiana,Marrero,2000 block of Rue Racine,0,1
5336,"September 21, 2016",Illinois,Chicago,6300 block of South Cottage Grove,0,1
5337,"September 21, 2016",Tennessee,Memphis,Wells Station and Gray,0,1
5338,"September 21, 2016",Pennsylvania,York,West Newton and South West streets,0,1
5339,"September 21, 2016",California,Berkeley,Sacramento and Russell Streets,0,1
5340,"September 20, 2016",Virginia,Manassas,7791 Sudley Road,0,1
5341,"September 20, 2016",North Carolina,Wilmington,15th and Castle Streets,0,1
5342,"September 20, 2016",Indiana,Gary,700 block of West 25th Avenue,0,1
5343,"September 20, 2016",Florida,Miami,4725 Northwest 24th Avenue,0,1
5344,"September 20, 2016",North Carolina,Durham,700 block of Massey Avenue,0,2
5345,"September 20, 2016",Alabama,Selma,King Street and Dallas Avenue,0,1
5346,"September 19, 2016",Florida,Jacksonville,North Pearl and West 62nd Street,0,1
5347,"September 19, 2016",Missouri,Saint Louis,660 Rosedale Avenue,0,1
5348,"September 18, 2016",Illinois,Chicago (Englewood),1200 block of West 71st Street,0,1
5349,"September 18, 2016",Florida,Jacksonville,West 9th Street and Myrtle Avenue,0,1
5350,"September 18, 2016",Florida,Jacksonville,2500 block of Robert Street,0,3
5351,"September 18, 2016",Illinois,Chicago,3900 block of West Cermak Road,0,1
5352,"September 18, 2016",Ohio,Cincinnati (Lincoln Heights),931 Adams Street,0,4
5353,"September 18, 2016",Illinois,Chicago,3900 block of West Lexington,0,2
5354,"September 18, 2016",Maryland,Baltimore,1500 block of North Fremont,0,1
5355,"September 18, 2016",Maryland,Baltimore,900 block of Ashburton Street,0,1
5356,"September 18, 2016",Illinois,Chicago,6600 block of South Rhodes Avenue,0,1
5357,"September 17, 2016",Texas,San Antonio,Grant Avenue and Mariposa,0,1
5358,"September 17, 2016",Illinois,Chicago,5100 block of South Sawyer Street,0,2
5359,"September 17, 2016",Florida,Miami,20582 Southwest 119th Avenue,0,6
5360,"September 17, 2016",Texas,San Antonio,,0,1
5361,"September 17, 2016",Tennessee,Jackson,Point-O-Woods Drive,0,1
5362,"September 17, 2016",Illinois,Chicago,1000 block of West 103rd Place,0,1
5363,"September 16, 2016",Texas,Harris (county),,0,1
5364,"September 16, 2016",Georgia,Morgan (county),Hawkins Avenue,0,1
5365,"September 16, 2016",California,Santa Ana,400 block of South Birch Street,1,1
5366,"September 16, 2016",California,North Hills,Sepulveda Blvd and Chase St,0,1
5367,"September 16, 2016",Connecticut,New Haven,Winchester Avenue and Lilac Street,0,2
5368,"September 15, 2016",North Carolina,Reidsville,500 block of McCoy Street,0,2
5369,"September 15, 2016",California,Oakland,1600 block of 78th Avenue,0,1
5370,"September 15, 2016",California,Oakland,9900 block of Pippin Street,0,1
5371,"September 15, 2016",Wisconsin,Milwaukee,7878 N 60th Street,0,1
5372,"September 15, 2016",California,Fresno,2500 block of Fairmont,0,1
5373,"September 14, 2016",Ohio,Cleveland,East 70th Street and Hough Avenue,0,1
5374,"September 14, 2016",Delaware,Wilmington,2600 block of North Market Street,0,1
5375,"September 14, 2016",California,Pomona,2900 block of Hollander Street,0,1
5376,"September 14, 2016",Virginia,Manassas,9800 block Maury Lane,0,3
5377,"September 14, 2016",North Carolina,Jacksonville,,0,1
5378,"September 14, 2016",South Carolina,Columbia,169 Brook Pines Drive,0,2
5379,"September 13, 2016",Maryland,Baltimore,1300 block of North Carey Street,0,1
5380,"September 13, 2016",Maryland,Baltimore,700 block of Mello Court,0,1
5381,"September 13, 2016",New Jersey,Trenton,100 block of Pearl Street,0,3
5382,"September 13, 2016",Indiana,Fort Wayne,1723 E Wayne St,3,2
5383,"September 13, 2016",Pennsylvania,Pittsburgh,6th Street,0,1
5384,"September 13, 2016",Washington,Seattle,23rd Ave. and E. Cherry Street,0,1
5385,"September 12, 2016",Maryland,Baltimore,1500 block of North Fremont Street,0,1
5386,"September 12, 2016",Florida,Pompano Beach,800 block of Hammondville Road,0,1
5387,"September 12, 2016",Nebraska,Omaha,103rd and Seward Street,0,2
5388,"September 11, 2016",Illinois,Chicago,8900 block of South Justine Street,1,2
5389,"September 11, 2016",Indiana,Fort Wayne,3006 Holton Avenue,3,1
5390,"September 11, 2016",Florida,Jacksonville,5700 block of Lexington Avenue,0,3
5391,"September 11, 2016",California,Napa,First Street and Freeway Drive,0,1
5392,"September 11, 2016",Illinois,Chicago (Englewood),6000 block of South Wood,0,1
5393,"September 11, 2016",Arizona,Phoenix,Buckeye and 83rd,0,2
5394,"September 10, 2016",Maryland,Baltimore,900 block of Ashburton Street,0,1
5395,"September 10, 2016",Delaware,New Castle,Del. 273 and Airport Road,0,1
5396,"September 10, 2016",Illinois,Chicago (Roseland),10900 block of South Eberhart Avenue,0,1
5397,"September 10, 2016",California,Santa Ana,700 block of West Third Street,0,1
5398,"September 10, 2016",Connecticut,Stamford,Strawberry Hill Avenue,0,1
5399,"September 10, 2016",California,Oakland,2300 block of 25th Avenue,0,1
5400,"September 10, 2016",California,Oroville,2400 block of D Street,0,1
5401,"September 10, 2016",Florida,Miami,Northwest 5th Avenue and Northwest 7th Street,0,1
5402,"September 10, 2016",Illinois,Chicago,5500 block of West Ohio,0,1
5403,"September 10, 2016",California,Los Angeles (Watts),1500 block of 92nd street,0,1
5404,"September 10, 2016",California,San Francisco,4700 block of Third Street,0,1
5405,"September 9, 2016",New Jersey,Trenton,100 East Paul Avenue,0,1
5406,"September 9, 2016",Michigan,Detroit,Seven Mile,0,3
5407,"September 9, 2016",Pennsylvania,Philadelphia,5th and Erie,0,3
5408,"September 8, 2016",Texas,Alpine,704 West Sul Ross Avenue,1,2
5409,"September 8, 2016",Tennessee,Nashville,Wildgrove Court,0,1
5410,"September 8, 2016",Arkansas,Hot Springs National Park (Hot Springs),300 block of Lacey Street,1,4
5411,"September 8, 2016",Pennsylvania,Pittsburgh,3875 Perrysville Ave,0,1
5412,"September 8, 2016",Utah,Salt Lake City (Kearns),5525 Cougar Lane,0,1
5413,"September 7, 2016",Ohio,Cincinnati,600 block of Dutch Colony Drive,0,2
5414,"September 7, 2016",Louisiana,New Orleans (River Ridge),300 block of Bengal Road,1,1
5415,"September 7, 2016",Florida,Pembroke Pines,18200 block of Northwest Fifteenth Lane,0,1
5416,"September 6, 2016",Ohio,Cleveland,2800 block of East 122nd Street,0,1
5417,"September 6, 2016",Illinois,Chicago,2600 block of West Crystal,0,1
5418,"September 6, 2016",Georgia,Atlanta,Crogman and Lansing Streets SE,0,1
5419,"September 5, 2016",Florida,Jacksonville,West 34th and Pearce Street,0,1
5420,"September 5, 2016",Georgia,Savannah,1200 block of East 41st Street,0,1
5421,"September 5, 2016",Kentucky,Lexington,Augusta Drive,0,1
5422,"September 5, 2016",Maryland,Baltimore,2100 block of Aiken St.,0,1
5423,"September 5, 2016",South Carolina,Fort Mill,Avenue of the Carolinas,0,1
5424,"September 5, 2016",Pennsylvania,Reading,600 block of Moss Street,0,4
5425,"September 5, 2016",Louisiana,New Orleans,Republic Street and Law Street,0,2
5426,"September 5, 2016",Washington,Spokane,East Cozza Drive and North Standard Street,0,1
5427,"September 5, 2016",Illinois,Chicago,2100 block of West Fargo Avenue,0,2
5428,"September 5, 2016",Illinois,Chicago,2700 block of West Lexington Avenue,2,3
5429,"September 5, 2016",Ohio,Ross (county),52 Reservation Circle,0,1
5430,"September 5, 2016",Kentucky,Louisville,2100 block of Beuchel Bank Road,0,1
5431,"September 4, 2016",Tennessee,Madison,100 block of Tuckahoe Square West,0,1
5432,"September 4, 2016",Ohio,Cincinnati,Broadway and Mehring Way,0,1
5433,"September 4, 2016",Georgia,Savannah,Bull Street,0,1
5434,"September 4, 2016",Ohio,North Ridgeville,5300 block of Lear Neagle Road,0,1
5435,"September 4, 2016",Illinois,Chicago,1400 block of North Laramie,0,1
5436,"September 4, 2016",Illinois,Chicago,5200 block of West LeMoyne Street,0,1
5437,"September 4, 2016",California,Stockton,Dallas Avenue and Connecticut Ave,1,1
5438,"September 4, 2016",Pennsylvania,Pittsburgh (Hazelwood),Winston Street,0,2
5439,"September 4, 2016",Virginia,Norfolk,1200 block of Underwood Avenue,0,1
5440,"September 4, 2016",California,Bakersfield,200 block of La Colina Drive,0,2
5441,"September 3, 2016",Virginia,Richmond,1300 block of Jennie Scher Road,0,1
5442,"September 3, 2016",Delaware,Wilmington,200 block of N. Franklin St.,0,1
5443,"September 3, 2016",Ohio,Toledo,2293 Kent St,0,1
5444,"September 3, 2016",Illinois,Chicago,4927 block of North Kenmore,0,2
5445,"September 3, 2016",Illinois,Chicago,100 block of North Parkside,0,1
5446,"September 3, 2016",Illinois,Chicago,5000 block of West Hirsch Street,0,1
5447,"September 2, 2016",Pennsylvania,Johnstown,Grove Avenue and Village Street,0,2
5448,"September 2, 2016",Oklahoma,Tulsa,4929 N. Peoria Avenue,0,1
5449,"September 2, 2016",Texas,Wichita Falls,5143 Kingston Drive,1,1
5450,"September 1, 2016",Delaware,Wilmington,300 block of W. 24th Street,0,1
5451,"September 1, 2016",Michigan,Jackson,1100 block of Adrian Street,0,1
5452,"September 1, 2016",Virginia,Newport News,35th and Marshall,0,2
5453,"September 1, 2016",Illinois,Chicago,500 block of North Central,0,1
5454,"September 1, 2016",Illinois,Chicago (Englewood),6700 block of South Hermitage Avenue,0,1
5455,"August 31, 2016",Texas,San Antonio,2700 block of East Houston Street,0,2
5456,"August 31, 2016",Tennessee,Memphis,3200 block of Covington Pike,0,1
5457,"November 25, 2016",District of Columbia,Washington,1200 block of I Street SE,1,0
5458,"November 25, 2016",Michigan,Detroit,16300 block of Lyndon,1,0
5459,"November 25, 2016",Virginia,Richmond,Milton St. and Meadowbridge Rd.,1,0
5460,"November 25, 2016",Tennessee,Antioch,Oceanfront Circle,1,0
5461,"November 25, 2016",Illinois,Chicago,800 block of South Throop,1,0
5462,"November 24, 2016",Kentucky,Lexington,Henton Road,1,0
5463,"November 24, 2016",California,Carmichael,5101 Marconi Avenue,1,0
5464,"November 24, 2016",Kansas,Wichita,1902 East Pawnee,1,0
5465,"November 23, 2016",California,Lynwood,12600 block of Long Beach Boulevard,1,0
5466,"November 23, 2016",California,Antioch,Mark Twain Drive and Ebbetts Way,1,0
5467,"November 23, 2016",South Carolina,Bluffton,,1,0
5468,"November 22, 2016",Indiana,Anderson,1600 block of West 7th Street,1,0
5469,"November 22, 2016",Florida,Miami,Northwest 17th Avenue and Northwest 31st Street,1,2
5470,"November 21, 2016",Tennessee,Knoxville,6802 Cardindale Drive,1,0
5471,"November 21, 2016",West Virginia,Charleston,1555 Washington Street East,1,0
5472,"November 21, 2016",Illinois,Chicago,1300 block of South Homan,1,1
5473,"November 20, 2016",Ohio,Cleveland,3700 Block of East 54th St,1,0
5474,"November 19, 2016",California,Watsonville,348 Pioneer Road,1,0
5475,"November 18, 2016",Illinois,Chicago (Englewood),5600 block of South Princeton,1,0
5476,"November 18, 2016",Kentucky,Lexington,3564 Honey Jay Court,1,0
5477,"November 18, 2016",South Carolina,Clearwater,1022 Fairview Road,1,1
5478,"November 18, 2016",South Carolina,Greenwood,Meadow Street,1,0
5479,"November 17, 2016",Virginia,Danville,100 block of Piney Forest Road,1,0
5480,"November 17, 2016",Kentucky,Henderson,1000 Powell Street,1,1
5481,"November 14, 2016",Ohio,Cincinnati,2800 block of Vine Street,1,0
